"product code","product name",variant,expected,counted,expiry
12345,Vespa,,13,,
43268709,ជីអុយរេ,"U ធំ",98.00,,
4710850104013,"air pad",,160,,
53333909,"Chicken Sauage 200g",,6,,
54195255,Table,,100,,
63951208,Meat,,88,,
76056968,Pen,,508,,2024-08-31
76056968,Pen,,216,,
81866155,GB,,5,,2024-09-30
81866155,GB,,485,,
83981734,"Pork Loin",,-6,,
83981734,"Pork Loin",,10,,2024-09-13
86376434,"ខ្សែករមាស ខ្លា (375)",,3,,
8851723100025,ipad,,99,,
91315617,nickles,,2,,
91640028,test,,0,,
92250134,Chair,,99,,
99160550,Ring,,1,,
f92,Cabinet,,98,,
fanta,fanta,,40,,
M01,Panadol,,111,,
M01,Panadol,,2,,2024-03-23
m02,"Vitamin C",,100,,
P01,Computer,black,89.00,,
P01,Computer,bb,-1.00,,
P02,"Iphone 11",,100,,
Pro01,SAUSAGES,,3,,
test1,test1,,14,,
